ID,Vitamin D,Vitamin D dose,Size,Patient setting,Expectation,Notes,URL,PDF,Country,Region,Date,Completion,Trial status,Design,Blinding,Arms,COVID-19 status,Outcome,Treatment
CTRI/2020/06/026191,Y,60k IU a week for 5 weeks,500,"Healthy Exposed, Healthcare Workers",Success,,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=45075,NA,India,New Delhi,2020-Jun,NA,Not Recruiting,Randomised,Double,1,Healthy,NA,Other + Vitamins
NCT04476745,Y,"50,000 IU vitamin D3",100,Healthy Unexposed,Success,,https://clinicaltrials.gov/show/NCT04476745,NA,Jordan,Amman,2020-Jul,NA,Recruiting,Randomised,Open-Label,2,Healthy,"IL-1, IL-6, Tumor Necrosis Factor (Any)",Vitamins
NCT04386850,Y,1000 IU/day for 2 months,1500,"Hospital, Healthy unexposed",Success,,https://ClinicalTrials.gov/show/NCT04386850,NA,Iran,Tehran,2020-May,2020-Nov,Recruiting,Randomised,Quadruple,2,NA,"Viral Load or Clearance, Dyspnea","Standard of care, Vitamins"
NCT04366908,Y,Calcifediol,1008,Hospital,Success,,https://ClinicalTrials.gov/show/NCT04366908,NA,Spain,Cordoba,2020-Apr,2021-Jun,Recruiting,Randomised,Open-Label,2,NA,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Invasive Mechanical Ventilation or ECMO, Dyspnea, Adverse Events","Standard of care, Vitamins"
NCT04641195,Y,"180,000 international units (IU) of vitamin D3 at enrollment, followed by 2000 IU once per day from enrollment to 8 weeks",700,Hospital,Success,,https://ClinicalTrials.gov/show/NCT04641195,NA,India,Maharashtra,2020-Nov,2021-Nov,Not Recruiting,Randomised,Quadruple,4,Confirmed,"Mortality, IL-6, IgG, IgM or IgA","Standard of care, Vitamins, Vitamins + Zinc, Zinc"
NCT04536298,Y,9600 IU/day,2700,Outpatient,Success,,https://ClinicalTrials.gov/show/NCT04536298,NA,United States,Massachusetts,2020-Sep,2021-Jun,Recruiting,Randomised,Quadruple,2,Confirmed,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department","Standard of care, Vitamins"
NCT04482673,Y,"20,000 IU/day for 3 days) followed by high dose (6000 IU vitamin D/day)",140,Outpatient,Success,,https://clinicaltrials.gov/show/NCT04482673,NA,United States,"Washington, Dc",2020-Jan,NA,Recruiting,Randomised,Quadruple,4,Suspected,Anti SARS-COV-2 Titers,"Standard of care, Vitamins"
2020-001717-20,Y,Calcifediol,NA,Hospital,Success,,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001717-20/ES/,NA,Spain,Madrid,2020-Apr,NA,Recruiting,Randomised,Open-Label,2,Confirmed,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Viral Load or Clearance, Labor Absenteeism, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Dyspnea, Adverse Events, IL-2, IL-4, IL-6, IL-8, IL-12, Tumor Necrosis Factor (Any), Interferon (Any), MIP-1, Respiratory Rate",Vitamins
NCT04551911,Y,Calcifediol (Rayaldee),160,Healthy Exposed,Success,,https://ClinicalTrials.gov/show/NCT04551911,NA,United States,Florida,2020-Sep,2021-May,Recruiting,Randomised,Quadruple,2,Confirmed,NA,"Standard of care, Vitamins"
IRCT20200401046909N2,Y,1000 IUs of 25(OH)D daily for 8 wks,540,"Healthy Exposed, Healthcare Workers",Success,,http://en.irct.ir/trial/47010,NA,Iran,Tehran,2020-Apr,2020-Oct,Completed,Randomised,Double,2,NA,"Cough, Fever, Dyspnea, Radiographic Findings","Standard of care, Vitamins"
